player,team,pos,90s,shots,tackles_won,interceptions,league,season,shots_p90,tackles_won_p90,interceptions_p90
Aaron Ramsdale,Arsenal,GK,38.0,0,1,0,ENG-Premier League,2223,0.0,0.02631578947368421,0.0
Albert Sambi Lokonga,Arsenal,MF,2.2,0,1,4,ENG-Premier League,2223,0.0,0.45454545454545453,1.8181818181818181
Ben White,Arsenal,DF,33.9,10,33,21,ENG-Premier League,2223,0.2949852507374631,0.9734513274336284,0.6194690265486726
Bukayo Saka,Arsenal,"FW,MF",35.3,89,33,11,ENG-Premier League,2223,2.521246458923513,0.934844192634561,0.311614730878187
Cédric Soares,Arsenal,"DF,MF",0.3,0,0,0,ENG-Premier League,2223,0.0,0.0,0.0
Eddie Nketiah,Arsenal,FW,12.1,41,9,1,ENG-Premier League,2223,3.388429752066116,0.7438016528925621,0.08264462809917356
Emile Smith Rowe,Arsenal,MF,1.9,4,1,0,ENG-Premier League,2223,2.1052631578947367,0.5263157894736842,0.0
Fabio Vieira,Arsenal,MF,5.7,15,4,4,ENG-Premier League,2223,2.631578947368421,0.7017543859649122,0.7017543859649122
Gabriel Jesus,Arsenal,FW,22.9,77,24,11,ENG-Premier League,2223,3.3624454148471616,1.0480349344978166,0.48034934497816595
Gabriel Magalhães,Arsenal,DF,37.9,32,28,32,ENG-Premier League,2223,0.8443271767810027,0.7387862796833773,0.8443271767810027
Gabriel Martinelli,Arsenal,"FW,MF",31.0,79,22,9,ENG-Premier League,2223,2.5483870967741935,0.7096774193548387,0.2903225806451613
Granit Xhaka,Arsenal,MF,33.3,40,26,15,ENG-Premier League,2223,1.2012012012012012,0.7807807807807808,0.4504504504504505
Jakub Kiwior,Arsenal,DF,4.7,1,6,6,ENG-Premier League,2223,0.2127659574468085,1.276595744680851,1.276595744680851
Jorginho,Arsenal,MF,9.5,6,12,7,ENG-Premier League,2223,0.631578947368421,1.263157894736842,0.7368421052631579
Kieran Tierney,Arsenal,DF,8.8,7,10,10,ENG-Premier League,2223,0.7954545454545454,1.1363636363636362,1.1363636363636362
Leandro Trossard,Arsenal,FW,10.3,17,6,5,ENG-Premier League,2223,1.6504854368932038,0.5825242718446602,0.48543689320388345
Martin Ødegaard,Arsenal,MF,34.7,93,24,5,ENG-Premier League,2223,2.680115273775216,0.6916426512968299,0.1440922190201729
Mohamed Elneny,Arsenal,MF,1.3,0,1,0,ENG-Premier League,2223,0.0,0.7692307692307692,0.0
Oleksandr Zinchenko,Arsenal,DF,23.5,28,18,22,ENG-Premier League,2223,1.1914893617021276,0.7659574468085106,0.9361702127659575
Reiss Nelson,Arsenal,"FW,MF",2.4,12,1,0,ENG-Premier League,2223,5.0,0.4166666666666667,0.0
Rob Holding,Arsenal,DF,6.3,5,5,3,ENG-Premier League,2223,0.7936507936507937,0.7936507936507937,0.4761904761904762
Takehiro Tomiyasu,Arsenal,DF,7.4,3,19,12,ENG-Premier League,2223,0.4054054054054054,2.5675675675675675,1.6216216216216215
