player_id,name,current_club_name,position,sub_position,market_value_in_eur,highest_market_value_in_eur
3333,James Milner,Brighton & Hove Albion,Midfield,Central Midfield,500000.0,21000000.0
16306,Casemiro,Manchester United,Midfield,Defensive Midfield,6000000.0,80000000.0
29692,Lukasz Fabianski,West Ham United,Goalkeeper,Goalkeeper,150000.0,9000000.0
29712,John Ruddy,Newcastle United,Goalkeeper,Goalkeeper,100000.0,5000000.0
34130,Tom Heaton,Manchester United,Goalkeeper,Goalkeeper,100000.0,6000000.0
51471,Mateo Kovacic,Manchester City,Midfield,Central Midfield,10000000.0,45000000.0
52570,Fraser Forster,AFC Bournemouth,Goalkeeper,Goalkeeper,400000.0,15000000.0
53622,İlkay Gündoğan,Manchester City,Midfield,Central Midfield,2000000.0,50000000.0
61651,Jordan Henderson,Brentford FC,Midfield,Defensive Midfield,1200000.0,35000000.0
61697,Wes Foderingham,West Ham United,Goalkeeper,Goalkeeper,450000.0,900000.0
61841,Adam Smith,AFC Bournemouth,Defender,Right-Back,300000.0,9000000.0
63200,Ashley Barnes,Burnley FC,Attack,Centre-Forward,150000.0,10000000.0
67063,Danny Welbeck,Brighton & Hove Albion,Attack,Centre-Forward,3000000.0,18000000.0
68390,Séamus Coleman,Everton FC,Defender,Right-Back,200000.0,19000000.0
72476,Bernd Leno,Fulham FC,Goalkeeper,Goalkeeper,6000000.0,35000000.0
73564,Jason Steele,Brighton & Hove Albion,Goalkeeper,Goalkeeper,500000.0,4000000.0
74960,Martin Dúbravka,Burnley FC,Goalkeeper,Goalkeeper,500000.0,7500000.0
75489,Niclas Füllkrug,West Ham United,Attack,Centre-Forward,3500000.0,15000000.0
85177,Nathaniel Clyne,Crystal Palace,Defender,Right-Back,300000.0,21000000.0
85941,Stefan Ortega,Manchester City,Goalkeeper,Goalkeeper,4000000.0,9000000.0
95424,Kyle Walker,Burnley FC,Defender,Right-Back,1500000.0,50000000.0
95795,Václav Hladký,Burnley FC,Goalkeeper,Goalkeeper,150000.0,500000.0
95810,Kieran Trippier,Newcastle United,Defender,Right-Back,1500000.0,35000000.0
99331,Jannik Vestergaard,Leicester City,Defender,Centre-Back,1000000.0,20000000.0
99397,Karl Darlow,Leeds United,Goalkeeper,Goalkeeper,200000.0,4500000.0
105470,Alisson,Liverpool FC,Goalkeeper,Goalkeeper,15000000.0,90000000.0
108354,Jordan Ayew,Leicester City,Attack,Centre-Forward,1800000.0,10000000.0
108725,Chris Wood,Nottingham Forest,Attack,Centre-Forward,5000000.0,18000000.0
110864,Sam Johnstone,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,2000000.0,12000000.0
111051,Nampalys Mendy,Watford FC,Midfield,Defensive Midfield,700000.0,12000000.0
111195,Joël Veltman,Brighton & Hove Albion,Defender,Right-Back,1500000.0,10000000.0
111455,Granit Xhaka,Sunderland AFC,Midfield,Defensive Midfield,8000000.0,50000000.0
111873,Emiliano Martínez,Aston Villa,Goalkeeper,Goalkeeper,12000000.0,35000000.0
116648,Marcus Bettinelli,Manchester City,Goalkeeper,Goalkeeper,300000.0,4000000.0
118534,Michael Keane,Everton FC,Defender,Centre-Back,3000000.0,30000000.0
120629,Alphonse Areola,West Ham United,Goalkeeper,Goalkeeper,4000000.0,17500000.0
121254,Adam Davies,Sheffield United,Goalkeeper,Goalkeeper,200000.0,750000.0
121324,John Egan,Hull City,Defender,Centre-Back,1000000.0,13000000.0
123275,Tom Cairney,Fulham FC,Midfield,Central Midfield,500000.0,18000000.0
123536,Simon Moore,Sunderland AFC,Goalkeeper,Goalkeeper,75000.0,500000.0
123682,Callum Wilson,West Ham United,Attack,Centre-Forward,4000000.0,30000000.0
124884,Marco Bizot,Aston Villa,Goalkeeper,Goalkeeper,1500000.0,7000000.0
126600,Kenny McLean,Norwich City,Midfield,Central Midfield,400000.0,4500000.0
126664,Lucas Digne,Aston Villa,Defender,Left-Back,6000000.0,35000000.0
126665,Idrissa Gueye,Everton FC,Midfield,Defensive Midfield,500000.0,30000000.0
127181,Benjamin Lecomte,Fulham FC,Goalkeeper,Goalkeeper,800000.0,17000000.0
127202,Matz Sels,Nottingham Forest,Goalkeeper,Goalkeeper,3500000.0,8000000.0
130164,Jordan Pickford,Everton FC,Goalkeeper,Goalkeeper,13000000.0,40000000.0
131978,Ross Barkley,Aston Villa,Midfield,Central Midfield,4000000.0,30000000.0
131996,Bertrand Traoré,Sunderland AFC,Attack,Right Winger,4000000.0,20000000.0
134270,Dan Burn,Newcastle United,Defender,Centre-Back,4000000.0,12000000.0
135343,Fabian Schär,Newcastle United,Defender,Centre-Back,4000000.0,16000000.0
136401,Daniel Bentley,Wolverhampton Wanderers,Goalkeeper,Goalkeeper,800000.0,4000000.0
139208,Virgil van Dijk,Liverpool FC,Defender,Centre-Back,15000000.0,100000000.0
141573,George Saville,Luton Town,Midfield,Central Midfield,700000.0,7000000.0
