id,season_name,total_points,minutes,goals_scored,assists,clean_sheets,goals_conceded,own_goals,penalties_saved,penalties_missed,yellow_cards,red_cards,saves,bonus,bps,influence,creativity,threat,ict_index,expected_goals,expected_assists,expected_goal_involvements,prev_total_points,prev_minutes,prev_goals_scored,prev_assists,prev_clean_sheets,prev_goals_conceded,prev_own_goals,prev_penalties_saved,prev_penalties_missed,prev_yellow_cards,prev_red_cards,prev_saves,prev_bonus,prev_bps,prev_influence,prev_creativity,prev_threat,prev_ict_index,prev_expected_goals,prev_expected_assists,prev_expected_goal_involvements,avg2_total_points,avg2_goals_scored,avg2_assists,avg2_minutes,avg2_clean_sheets,avg2_saves,avg2_goals_conceded,seasons_played,full_name,position,team_name
1,2021/22,95,2160,0,0,8,27,0,0,0,1,0,78,5,496,593.4,10.0,0.0,60.1,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,David Raya Martín,Goalkeeper,Arsenal
1,2022/23,166,3420,0,0,12,46,1,0,0,1,0,154,20,822,1146.0,20.1,4.0,117.3,0.11,0.12,0.23,95.0,2160.0,0.0,0.0,8.0,27.0,0.0,0.0,0.0,1.0,0.0,78.0,5.0,496.0,593.4,10.0,0.0,60.1,0.0,0.0,0.0,95.0,0.0,0.0,2160.0,8.0,78.0,27.0,1,David Raya Martín,Goalkeeper,Arsenal
1,2023/24,135,2880,0,0,16,24,0,1,0,2,0,46,6,569,413.0,0.0,0.0,41.1,0.0,0.04,0.04,166.0,3420.0,0.0,0.0,12.0,46.0,1.0,0.0,0.0,1.0,0.0,154.0,20.0,822.0,1146.0,20.1,4.0,117.3,0.11,0.12,0.23,130.5,0.0,0.0,2790.0,10.0,116.0,36.5,2,David Raya Martín,Goalkeeper,Arsenal
1,2024/25,142,3420,0,0,13,34,0,0,0,3,0,86,10,555,755.4,10.7,0.0,76.7,0.0,0.03,0.03,135.0,2880.0,0.0,0.0,16.0,24.0,0.0,1.0,0.0,2.0,0.0,46.0,6.0,569.0,413.0,0.0,0.0,41.1,0.0,0.04,0.04,150.5,0.0,0.0,3150.0,14.0,100.0,35.0,3,David Raya Martín,Goalkeeper,Arsenal
1,2025/26,162,3330,0,0,19,26,0,0,0,1,0,60,11,633,541.6,33.5,0.0,57.5,0.0,0.07,0.07,142.0,3420.0,0.0,0.0,13.0,34.0,0.0,0.0,0.0,3.0,0.0,86.0,10.0,555.0,755.4,10.7,0.0,76.7,0.0,0.03,0.03,138.5,0.0,0.0,3150.0,14.5,66.0,29.0,4,David Raya Martín,Goalkeeper,Arsenal
2,2018/19,142,3240,0,0,14,39,0,1,0,2,0,82,7,685,681.0,0.1,0.0,68.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,37.5,1.5,1.0,606.0,1.5,0.0,9.5,0,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2019/20,90,2970,0,0,8,47,0,0,0,0,0,55,0,507,503.6,0.0,0.0,50.2,0.0,0.0,0.0,142.0,3240.0,0.0,0.0,14.0,39.0,0.0,1.0,0.0,2.0,0.0,82.0,7.0,685.0,681.0,0.1,0.0,68.0,0.0,0.0,0.0,52.0,2.0,1.0,941.0,3.0,0.0,12.0,1,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2020/21,26,585,0,0,2,8,0,0,0,1,0,16,5,117,113.6,0.0,0.0,11.3,0.0,0.0,0.0,90.0,2970.0,0.0,0.0,8.0,47.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,507.0,503.6,0.0,0.0,50.2,0.0,0.0,0.0,64.0,1.0,2.0,1825.0,3.0,0.0,35.0,2,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2021/22,19,360,0,0,2,2,0,0,0,0,0,11,1,89,95.6,0.0,0.0,9.6,0.0,0.0,0.0,26.0,585.0,0.0,0.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,16.0,5.0,117.0,113.6,0.0,0.0,11.3,0.0,0.0,0.0,77.0,0.5,3.5,2366.5,5.5,0.0,45.5,3,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2022/23,118,2565,0,0,9,33,0,0,0,1,0,91,15,575,733.4,0.1,0.0,73.3,0.0,0.0,0.0,19.0,360.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,89.0,95.6,0.0,0.0,9.6,0.0,0.0,0.0,83.0,1.0,4.0,2511.0,8.0,0.0,42.0,4,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2023/24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,2565.0,0.0,0.0,9.0,33.0,0.0,0.0,0.0,1.0,0.0,91.0,15.0,575.0,733.4,0.1,0.0,73.3,0.0,0.0,0.0,76.0,2.0,3.0,2114.0,8.0,0.0,28.0,5,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2024/25,106,2790,0,0,8,39,0,0,0,3,0,97,7,406,744.4,10.4,4.0,75.8,0.06,0.03,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,6,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
2,2025/26,2,90,0,0,0,1,0,0,0,0,0,2,0,11,19.8,0.0,0.0,2.0,0.0,0.0,0.0,106.0,2790.0,0.0,0.0,8.0,39.0,0.0,0.0,0.0,3.0,0.0,97.0,7.0,406.0,744.4,10.4,4.0,75.8,0.06,0.03,0.09,,,,,,,,7,Kepa Arrizabalaga Revuelta,Goalkeeper,Arsenal
3,2020/21,154,3150,0,0,11,52,1,1,0,0,0,140,20,774,1026.0,10.0,0.0,103.7,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,45.0,0.0,0.0,1545.0,3.0,0.0,27.0,0,Illan Meslier,Goalkeeper,Arsenal
3,2021/22,106,3384,0,0,5,79,0,0,0,2,0,143,8,713,1090.6,0.0,0.0,108.9,0.0,0.0,0.0,154.0,3150.0,0.0,0.0,11.0,52.0,1.0,1.0,0.0,0.0,0.0,140.0,20.0,774.0,1026.0,10.0,0.0,103.7,0.0,0.0,0.0,45.0,0.0,0.0,1545.0,3.0,0.0,27.0,1,Illan Meslier,Goalkeeper,Arsenal
3,2022/23,90,3060,0,0,5,67,0,0,0,3,0,94,8,548,738.6,0.0,17.0,75.9,0.12,0.01,0.13,106.0,3384.0,0.0,0.0,5.0,79.0,0.0,0.0,0.0,2.0,0.0,143.0,8.0,713.0,1090.6,0.0,0.0,108.9,0.0,0.0,0.0,34.0,1.0,1.0,494.0,0.0,0.0,8.0,2,Illan Meslier,Goalkeeper,Arsenal
3,2025/26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,3060.0,0.0,0.0,5.0,67.0,0.0,0.0,0.0,3.0,0.0,94.0,8.0,548.0,738.6,0.0,17.0,75.9,0.12,0.01,0.13,34.0,1.0,1.0,494.0,0.0,0.0,8.0,3,Illan Meslier,Goalkeeper,Arsenal
4,2020/21,78,1996,2,0,6,24,0,0,0,2,1,0,7,385,464.8,51.0,233.0,74.9,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,Gabriel dos Santos Magalhães,Defender,Arsenal
4,2021/22,146,3063,5,0,13,38,0,0,0,6,1,0,16,682,746.8,131.6,470.0,134.7,0.0,0.0,0.0,78.0,1996.0,2.0,0.0,6.0,24.0,0.0,0.0,0.0,2.0,1.0,0.0,7.0,385.0,464.8,51.0,233.0,74.9,0.0,0.0,0.0,13.5,0.0,0.0,366.0,1.0,0.0,6.0,1,Gabriel dos Santos Magalhães,Defender,Arsenal
4,2022/23,146,3409,3,0,14,43,0,0,0,5,0,0,15,723,743.8,131.4,401.0,127.7,5.04,0.66,5.7,146.0,3063.0,5.0,0.0,13.0,38.0,0.0,0.0,0.0,6.0,1.0,0.0,16.0,682.0,746.8,131.6,470.0,134.7,0.0,0.0,0.0,15.0,0.0,0.0,409.5,1.0,0.0,7.5,2,Gabriel dos Santos Magalhães,Defender,Arsenal
4,2023/24,149,3042,3,1,16,26,1,0,0,4,0,0,8,676,675.8,121.9,379.0,117.9,4.48,0.65,5.13,146.0,3409.0,3.0,0.0,14.0,43.0,0.0,0.0,0.0,5.0,0.0,0.0,15.0,723.0,743.8,131.4,401.0,127.7,5.04,0.66,5.7,1.5,0.0,0.0,43.5,0.0,0.0,1.5,3,Gabriel dos Santos Magalhães,Defender,Arsenal
4,2024/25,117,2363,3,2,10,22,0,0,0,4,0,0,9,459,584.6,208.8,287.0,108.2,2.7,1.21,3.91,149.0,3042.0,3.0,1.0,16.0,26.0,1.0,0.0,0.0,4.0,0.0,0.0,8.0,676.0,675.8,121.9,379.0,117.9,4.48,0.65,5.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,Gabriel dos Santos Magalhães,Defender,Arsenal
4,2025/26,209,2750,3,5,18,20,0,0,0,4,0,0,30,724,824.0,128.5,298.0,125.0,2.94,1.75,4.69,117.0,2363.0,3.0,2.0,10.0,22.0,0.0,0.0,0.0,4.0,0.0,0.0,9.0,459.0,584.6,208.8,287.0,108.2,2.7,1.21,3.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,Gabriel dos Santos Magalhães,Defender,Arsenal
5,2023/24,0,70,0,0,0,0,0,0,0,2,0,0,0,4,5.8,4.7,2.0,1.3,0.0,0.02,0.02,,,,,,,,,,,,,,,,,,,,,,1.0,0.0,0.0,5.5,0.0,0.0,0.0,0,Jurriën Timber,Defender,Arsenal
5,2024/25,114,2415,1,3,11,21,0,0,0,7,0,0,9,426,393.0,296.8,254.0,94.2,1.23,1.3,2.53,0.0,70.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,5.8,4.7,2.0,1.3,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,Jurriën Timber,Defender,Arsenal
5,2025/26,149,2452,3,6,13,20,0,0,0,5,0,0,9,532,499.0,402.6,352.0,125.7,4.71,1.53,6.24,114.0,2415.0,1.0,3.0,11.0,21.0,0.0,0.0,0.0,7.0,0.0,0.0,9.0,426.0,393.0,296.8,254.0,94.2,1.23,1.3,2.53,67.0,5.0,1.0,1031.0,4.0,0.0,13.0,2,Jurriën Timber,Defender,Arsenal
6,2020/21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,125.0,6.5,9.5,1968.0,6.5,0.0,31.5,0,William Saliba,Defender,Arsenal
6,2021/22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.0,9.0,8.0,1799.0,6.0,0.0,32.0,1,William Saliba,Defender,Arsenal
6,2022/23,117,2415,2,1,12,25,1,0,0,4,0,0,14,571,529.0,100.8,114.0,74.5,0.91,0.32,1.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,4.0,1360.0,9.0,0.0,12.0,2,William Saliba,Defender,Arsenal
